size,problem_id,heuristic,nodes_expanded,wall_time_total,wall_time_heuristic,path_length,optimal_len,suboptimality,violation_rate,mean_overestimation,h_calls
10,7,manhattan,3,9.290000889450312e-05,1.1800089851021767e-05,3,3,1.0,0.0,0.0,7
10,7,euclidean,3,5.7699973694980145e-05,1.0299903806298971e-05,3,3,1.0,0.0,0.0,7
10,7,nn,3,0.0012221999932080507,0.0011583999148570001,3,3,1.0,1.0,26.3980793915689,7
10,8,manhattan,8,9.539996972307563e-05,1.1300086043775082e-05,8,8,1.0,0.0,0.0,17
10,8,euclidean,15,0.00023040000814944506,3.080005990341306e-05,8,8,1.0,0.0,0.0,27
10,8,nn,8,0.0032753999694250524,0.003107599972281605,8,8,1.0,1.0,24.799667635560034,20
10,9,manhattan,27,0.0002250999677926302,2.3500004317611456e-05,15,15,1.0,0.0,0.0,37
10,9,euclidean,37,0.000275899947155267,3.499985905364156e-05,15,15,1.0,0.0,0.0,46
10,9,nn,20,0.004814300045836717,0.0045161000452935696,15,15,1.0,1.0,37.437684797495606,31
10,10,manhattan,25,0.00027550000231713057,3.090000245720148e-05,12,12,1.0,0.0,0.0,41
10,10,euclidean,36,0.0003093000268563628,4.349998198449612e-05,12,12,1.0,0.0,0.0,52
10,10,nn,18,0.005948100006207824,0.00548960012383759,12,12,1.0,0.9875,29.791909561881535,35
10,11,manhattan,5,8.47000046633184e-05,1.0299962013959885e-05,5,5,1.0,0.0,0.0,15
10,11,euclidean,5,6.419996498152614e-05,1.3200042303651571e-05,5,5,1.0,0.0,0.0,15
10,11,nn,5,0.0023859000066295266,0.002273400197736919,5,5,1.0,1.0,29.737480133771896,15
10,12,manhattan,8,0.00017630000365898013,2.3800006601959467e-05,6,6,1.0,0.0,0.0,17
10,12,euclidean,9,0.00025649997405707836,3.900006413459778e-05,6,6,1.0,0.0,0.0,18
10,12,nn,6,0.003036000009160489,0.0028891999390907586,6,6,1.0,1.0,22.183269256353377,15
10,13,manhattan,14,0.00016330002108588815,1.9599974621087313e-05,14,14,1.0,0.0,0.0,30
10,13,euclidean,41,0.00031729997135698795,4.120008088648319e-05,14,14,1.0,0.0,0.0,52
10,13,nn,14,0.0063112000352703035,0.005966099910438061,14,14,1.0,1.0,31.986846703517287,33
10,14,manhattan,8,0.00018179998733103275,2.1799991372972727e-05,6,6,1.0,0.0,0.0,17
10,14,euclidean,9,0.00017830001888796687,2.7899863198399544e-05,6,6,1.0,0.0,0.0,20
10,14,nn,6,0.004806599987205118,0.0045739999623037875,6,6,1.0,1.0,32.90158444717527,16
10,15,manhattan,35,0.00030149996746331453,3.0100112780928612e-05,18,18,1.0,0.0,0.0,47
10,15,euclidean,44,0.00033080001594498754,4.109996370971203e-05,18,18,1.0,0.0,0.0,51
10,15,nn,20,0.008383400039747357,0.007926299935206771,18,18,1.0,0.9873417721518988,28.176797518363365,39
10,16,manhattan,8,0.0002573999809101224,3.579998156055808e-05,8,8,1.0,0.0,0.0,22
10,16,euclidean,14,0.0003282999969087541,4.4500106014311314e-05,8,8,1.0,0.0,0.0,24
10,16,nn,8,0.0043194000027142465,0.004103500046767294,8,8,1.0,0.987012987012987,31.813117516668218,17
10,17,manhattan,7,9.979994501918554e-05,1.2200034689158201e-05,7,7,1.0,0.0,0.0,17
10,17,euclidean,14,0.0001476999605074525,2.2999942302703857e-05,7,7,1.0,0.0,0.0,26
10,17,nn,7,0.003217899997252971,0.003054399916436523,7,7,1.0,0.9875,23.560177205484123,17
10,18,manhattan,44,0.0003618999617174268,3.5600096452981234e-05,18,18,1.0,0.0,0.0,55
10,18,euclidean,52,0.0004056000034324825,4.939991049468517e-05,18,18,1.0,0.0,0.0,63
10,18,nn,31,0.009136700013186783,0.00857890013139695,18,18,1.0,1.0,26.348225631192328,51
10,19,manhattan,3,5.8699981309473515e-05,7.199996616691351e-06,3,3,1.0,0.0,0.0,8
10,19,euclidean,3,4.379998426884413e-05,8.90000956133008e-06,3,3,1.0,0.0,0.0,9
10,19,nn,3,0.0024727999698370695,0.0023656002013012767,3,3,1.0,1.0,32.84733808040619,9
10,20,manhattan,3,0.00012280000373721123,1.7399899661540985e-05,3,3,1.0,0.0,0.0,9
10,20,euclidean,3,0.00010310002835467458,2.1400046534836292e-05,3,3,1.0,0.0,0.0,9
10,20,nn,3,0.003365799959283322,0.0032358000171370804,3,3,1.0,0.9871794871794872,23.674892834254674,9
10,21,manhattan,6,7.749994983896613e-05,8.300063200294971e-06,6,6,1.0,0.0,0.0,10
10,21,euclidean,8,7.730000652372837e-05,1.1599971912801266e-05,6,6,1.0,0.0,0.0,12
10,21,nn,6,0.002739400020800531,0.0026007999549619853,6,6,1.0,1.0,32.65166562795639,12
10,22,manhattan,18,0.00019210000755265355,2.209987724199891e-05,11,11,1.0,0.0,0.0,31
10,22,euclidean,18,0.00017040001694113016,2.7199916075915098e-05,11,11,1.0,0.0,0.0,32
10,22,nn,12,0.004802200011909008,0.004543299903161824,11,11,1.0,1.0,30.25517006689989,24
10,23,manhattan,12,0.00014479999663308263,1.6200123354792595e-05,9,9,1.0,0.0,0.0,22
10,23,euclidean,23,0.00021079997532069683,3.0000112019479275e-05,9,9,1.0,0.0,0.0,37
10,23,nn,10,0.0032779000466689467,0.0030949999927543104,9,9,1.0,1.0,33.01544597148895,19
10,24,manhattan,6,0.00022149999858811498,3.049994120374322e-05,6,6,1.0,0.0,0.0,17
10,24,euclidean,6,0.00020900001982226968,3.499991726130247e-05,6,6,1.0,0.0,0.0,17
10,24,nn,6,0.003707600000780076,0.003530799993313849,6,6,1.0,1.0,34.09417447447777,17
10,25,manhattan,1,3.190001007169485e-05,3.89997148886323e-06,1,1,1.0,0.0,0.0,3
10,25,euclidean,1,2.099998528137803e-05,5.00003807246685e-06,1,1,1.0,0.0,0.0,3
10,25,nn,1,0.0005700999754481018,0.0005429000011645257,1,1,1.0,1.0,26.12506691105664,3
10,26,manhattan,3,5.770003190264106e-05,7.3999399319291115e-06,3,3,1.0,0.0,0.0,8
10,26,euclidean,3,4.1899969801306725e-05,8.499948307871819e-06,3,3,1.0,0.0,0.0,8
10,26,nn,3,0.0014384999522008002,0.001368100056424737,3,3,1.0,1.0,29.514706078916788,8
10,27,manhattan,5,7.720000576227903e-05,9.400013368576765e-06,4,4,1.0,0.0,0.0,12
10,27,euclidean,4,5.470000905916095e-05,1.0799907613545656e-05,4,4,1.0,0.0,0.0,11
10,27,nn,4,0.0020570000051520765,0.0019603000255301595,4,4,1.0,1.0,30.898680420219897,12
10,28,manhattan,23,0.000575200014282018,6.880023283883929e-05,12,12,1.0,0.0,0.0,45
10,28,euclidean,30,0.0006479000439867377,8.399970829486847e-05,12,12,1.0,0.0,0.0,47
10,28,nn,12,0.0052485999767668545,0.004978299955837429,12,12,1.0,0.9875,32.45958089828491,26
10,29,manhattan,2,4.6200002543628216e-05,6.200047209858894e-06,2,2,1.0,0.0,0.0,6
10,29,euclidean,2,3.330002073198557e-05,7.399998139590025e-06,2,2,1.0,0.0,0.0,6
10,29,nn,2,0.0010704000014811754,0.0010190000175498426,2,2,1.0,0.9875,25.5806776179543,6
50,0,manhattan,76,0.0007215000223368406,7.659982657060027e-05,44,44,1.0,0.0,0.0,133
50,0,euclidean,399,0.003257300006225705,0.0003261999227106571,44,44,1.0,0.0,0.0,440
50,0,nn,196,0.05086199997458607,0.04728480032645166,44,44,1.0,0.494,4.594321559797897,284
50,1,manhattan,273,0.0022669999743811786,0.0002143002930097282,64,64,1.0,0.0,0.0,374
50,1,euclidean,597,0.004848700016736984,0.0005509001202881336,64,64,1.0,0.0,0.0,678
50,1,nn,269,0.060042599972803146,0.05599969992181286,64,64,1.0,0.688,1.755887503540793,359
50,2,manhattan,225,0.0027975999983027577,0.00025609921431168914,53,53,1.0,0.0,0.0,317
50,2,euclidean,444,0.004336999962106347,0.0004370001261122525,53,53,1.0,0.0,0.0,498
50,2,nn,182,0.044893299986142665,0.041836100397631526,53,53,1.0,0.438,1.9682832831117116,245
50,3,manhattan,235,0.001894799992442131,0.00017739972099661827,50,50,1.0,0.0,0.0,320
50,3,euclidean,327,0.002654300013091415,0.0002791997976601124,50,50,1.0,0.0,0.0,368
50,3,nn,200,0.04390479996800423,0.04093140008626506,50,50,1.0,0.766,3.462875831843045,257
50,4,manhattan,287,0.002288699964992702,0.00018980028107762337,60,60,1.0,0.0,0.0,353
50,4,euclidean,483,0.00434710003901273,0.00044090079609304667,60,60,1.0,0.0,0.0,529
50,4,nn,204,0.06279220001306385,0.05865420022746548,60,60,1.0,0.298,1.1334266214562743,283
50,5,manhattan,170,0.0030203000060282648,0.0002807001583278179,51,51,1.0,0.0,0.0,242
50,5,euclidean,383,0.005300900025758892,0.0005214997217990458,51,51,1.0,0.0,0.0,427
50,5,nn,147,0.06052950001321733,0.05665520014008507,51,51,1.0,0.43,3.1705743734226672,204
50,6,manhattan,114,0.002128200023435056,0.0002200002782046795,35,35,1.0,0.0,0.0,159
50,6,euclidean,173,0.0037350000347942114,0.0005000998498871922,35,35,1.0,0.0,0.0,212
50,6,nn,128,0.08216879999963567,0.07699059980222955,35,35,1.0,0.554,3.594052686587998,166
50,7,manhattan,65,0.002029599971137941,0.0002213998232036829,30,30,1.0,0.0,0.0,108
50,7,euclidean,204,0.004572500009089708,0.000446799851488322,30,30,1.0,0.0,0.0,236
50,7,nn,73,0.04707059997599572,0.04449999995995313,30,30,1.0,0.872,2.7020897438766758,114
50,8,manhattan,121,0.0030246999813243747,0.00026059988886117935,48,48,1.0,0.0,0.0,180
50,8,euclidean,274,0.0053598000085912645,0.0005881993565708399,48,48,1.0,0.0,0.0,343
50,8,nn,117,0.0665068999514915,0.06245649961056188,48,48,1.0,0.93,4.463148372404037,184
50,9,manhattan,50,0.0017807999975048006,0.00018260010983794928,43,43,1.0,0.0,0.0,96
50,9,euclidean,425,0.016733600001316518,0.0016390992677770555,43,43,1.0,0.0,0.0,484
50,9,nn,162,0.18448170000920072,0.1699068999150768,43,43,1.0,0.728,2.2289369332266378,228
50,10,manhattan,19,0.0006736000068485737,7.850007386878133e-05,17,17,1.0,0.0,0.0,36
50,10,euclidean,58,0.0017603000160306692,0.00021470023784786463,17,17,1.0,0.0,0.0,84
50,10,nn,18,0.013914400013163686,0.013223699876107275,17,17,1.0,0.92,3.9618274336275845,38
50,11,manhattan,14,0.00022869999520480633,2.7800037059932947e-05,14,14,1.0,0.0,0.0,32
50,11,euclidean,29,0.0003559000324457884,5.239993333816528e-05,14,14,1.0,0.0,0.0,41
50,11,nn,14,0.008969300019089133,0.008503499964717776,14,14,1.0,0.478,2.2033775585964634,32
50,12,manhattan,178,0.0020686000352725387,0.0002278998726978898,77,77,1.0,0.0,0.0,304
50,12,euclidean,1073,0.010659300023689866,0.001056901179254055,77,77,1.0,0.0,0.0,1132
50,12,nn,758,0.2808290999964811,0.265214100072626,77,77,1.0,0.508,2.838032937425328,923
50,13,manhattan,196,0.001824999984819442,0.00017299974570050836,43,43,1.0,0.0,0.0,301
50,13,euclidean,365,0.0029979999526403844,0.00030590046662837267,43,43,1.0,0.0,0.0,406
50,13,nn,138,0.04389099997933954,0.04100779991131276,43,43,1.0,0.602,2.1366928423757967,206
50,14,manhattan,293,0.0033694999874569476,0.0003062004689127207,49,49,1.0,0.0,0.0,396
50,14,euclidean,499,0.004010099975857884,0.00039860024116933346,49,49,1.0,0.0,0.0,554
50,14,nn,338,0.0744630999979563,0.06928500015055761,49,49,1.0,0.842,3.518307239595898,427
50,15,manhattan,65,0.0005850999732501805,6.200000643730164e-05,34,34,1.0,0.0,0.0,105
50,15,euclidean,223,0.0023398000048473477,0.00023049971787258983,34,34,1.0,0.0,0.0,267
50,15,nn,105,0.02334279997739941,0.02176930010318756,34,34,1.0,0.76,2.2767414946305125,140
50,16,manhattan,50,0.0006615999736823142,7.160031236708164e-05,41,41,1.0,0.0,0.0,83
50,16,euclidean,283,0.00324330001603812,0.00033550040097907186,41,41,1.0,0.0,0.0,333
50,16,nn,99,0.023709399974904954,0.02213270013453439,41,41,1.0,0.816,2.7471342028356065,135
50,17,manhattan,68,0.0007114000036381185,8.150027133524418e-05,57,57,1.0,0.0,0.0,144
50,17,euclidean,665,0.0070747000281699,0.0007398010930046439,57,57,1.0,0.0,0.0,744
50,17,nn,163,0.043885899998713285,0.04104310000548139,57,57,1.0,0.788,1.9638489151969174,241
50,18,manhattan,38,0.0007601999677717686,7.349997758865356e-05,20,20,1.0,0.0,0.0,67
50,18,euclidean,75,0.0006969000096432865,7.759983418509364e-05,20,20,1.0,0.0,0.0,92
50,18,nn,62,0.01566190004814416,0.014639899949543178,20,20,1.0,0.602,4.147797161558538,86
50,19,manhattan,59,0.0007396999862976372,8.269998943433166e-05,53,53,1.0,0.0,0.0,109
50,19,euclidean,413,0.003125699993688613,0.0003352999920025468,53,53,1.0,0.0,0.0,460
50,19,nn,154,0.043198300001677126,0.04028939991258085,53,53,1.0,0.46,1.5278496939203015,218
50,20,manhattan,103,0.0009135999716818333,9.670009603723884e-05,61,61,1.0,0.0,0.0,182
50,20,euclidean,817,0.006050700030755252,0.0006111999973654747,61,61,1.0,0.0,0.0,887
50,20,nn,229,0.05752830003621057,0.05376699910266325,61,61,1.0,0.45,1.8594531801011827,329
50,21,manhattan,113,0.0010231000487692654,0.00010350020602345467,64,64,1.0,0.0,0.0,206
50,21,euclidean,782,0.0056936999899335206,0.0005579000571742654,64,64,1.0,0.0,0.0,847
50,21,nn,256,0.062402899959124625,0.05827219947241247,64,64,1.0,0.668,1.652659280571395,358
50,22,manhattan,206,0.0019329999922774732,0.00018739938968792558,36,36,1.0,0.0,0.0,286
50,22,euclidean,348,0.0026479000225663185,0.0002885005669668317,36,36,1.0,0.0,0.0,408
50,22,nn,183,0.04209029994672164,0.03920519939856604,36,36,1.0,0.28,1.5100212165287563,248
50,23,manhattan,3,6.360001862049103e-05,8.500006515532732e-06,3,3,1.0,0.0,0.0,11
50,23,euclidean,3,4.710000939667225e-05,1.0500021744519472e-05,3,3,1.0,0.0,0.0,11
50,23,nn,3,0.0018023999873548746,0.001723600027617067,3,3,1.0,0.768,1.9878831803798676,11
50,24,manhattan,111,0.0010847999947145581,0.00011360005009919405,36,36,1.0,0.0,0.0,181
50,24,euclidean,244,0.0023215999826788902,0.0002474002540111542,36,36,1.0,0.0,0.0,299
50,24,nn,103,0.025456400006078184,0.02385649929055944,36,36,1.0,0.3,1.4319703976313274,153
50,25,manhattan,55,0.00046519999159500003,4.6900007873773575e-05,27,27,1.0,0.0,0.0,81
50,25,euclidean,101,0.0007643999997526407,9.130040416494012e-05,27,27,1.0,0.0,0.0,131
50,25,nn,59,0.015425199992023408,0.014442899671848863,27,27,1.0,0.482,1.3251864722160878,84
50,26,manhattan,8,0.00011299998732283711,1.4100049156695604e-05,8,8,1.0,0.0,0.0,22
50,26,euclidean,8,9.139999747276306e-05,1.7400016076862812e-05,8,8,1.0,0.0,0.0,22
50,26,nn,8,0.003673900035209954,0.003495100128930062,8,8,1.0,0.74,2.0195288181304933,22
50,27,manhattan,123,0.000951100024394691,9.250006405636668e-05,40,40,1.0,0.0,0.0,180
50,27,euclidean,250,0.0017747999518178403,0.00019100011559203267,40,40,1.0,0.0,0.0,295
50,27,nn,112,0.02803789998870343,0.026256600162014365,40,40,1.0,0.354,1.2092832481793765,169
50,28,manhattan,79,0.0006588000105693936,6.709998706355691e-05,39,39,1.0,0.0,0.0,117
50,28,euclidean,230,0.0016878999886102974,0.00018809991888701916,39,39,1.0,0.0,0.0,272
50,28,nn,66,0.016021299990825355,0.015017700206954032,39,39,1.0,0.688,2.389302080800367,100
50,29,manhattan,56,0.0006923000328242779,7.340003503486514e-05,34,34,1.0,0.0,0.0,91
50,29,euclidean,173,0.0012669999850913882,0.00014490023022517562,34,34,1.0,0.0,0.0,210
50,29,nn,127,0.029413800046313554,0.027442099526524544,34,34,1.0,0.61,1.9631276380820353,171
100,0,manhattan,927,0.009399599977768958,0.0009162002825178206,108,108,1.0,0.0,0.0,1405
100,0,euclidean,2306,0.018436000042129308,0.0017523986753076315,108,108,1.0,0.0,0.0,2415
100,0,nn,3379,0.629118999990169,0.5783159014536068,108,108,1.0,0.0,0.0,3522
100,1,manhattan,797,0.008976600016467273,0.0008433997863903642,101,101,1.0,0.0,0.0,1210
100,1,euclidean,2056,0.01840170001378283,0.0017423006356693804,101,101,1.0,0.0,0.0,2153
100,1,nn,3025,0.5894977999851108,0.5418024004902691,101,101,1.0,0.0,0.0,3181
100,2,manhattan,1052,0.010430200025439262,0.0008405001717619598,118,118,1.0,0.0,0.0,1318
100,2,euclidean,2340,0.019496999972034246,0.0018659005872905254,118,118,1.0,0.0,0.0,2445
100,2,nn,3495,0.5959034999832511,0.5485011994605884,118,118,1.0,0.002,1.257805347442627,3605
100,3,manhattan,147,0.0012180000194348395,0.0001271998044103384,110,110,1.0,0.0,0.0,256
100,3,euclidean,2626,0.020141899993177503,0.00189320114441216,110,110,1.0,0.0,0.0,2760
100,3,nn,4376,0.7609640000155196,0.6993377988110296,110,110,1.0,0.0,0.0,4559
